CustomerID,Recency,Frequency,Monetary,Cluster
12346,325,1,77183.6,1
12347,1,7,4310.000000000001,0
12348,74,4,1797.24,0
12349,18,1,1757.5500000000002,0
12350,309,1,334.40000000000003,1
12352,35,8,2506.0400000000004,0
12353,203,1,89.0,1
12354,231,1,1079.3999999999999,1
12355,213,1,459.4,1
12356,22,3,2811.43,0
12357,32,1,6207.67,0
12358,1,2,1168.06,0
12359,57,4,6372.58,0
12360,51,3,2662.06,0
12361,286,1,189.9,1
12362,2,10,5226.230000000001,0
12363,109,2,552.0,0
12364,7,4,1313.1000000000001,0
12365,290,2,641.3799999999999,1
12367,3,1,168.89999999999998,0
12370,50,4,3545.6899999999996,0
12371,44,2,1887.96,0
12372,71,3,1298.0400000000002,0
12373,310,1,364.6,1
12374,24,1,742.93,0
12375,10,2,457.5,0
12377,314,2,1628.12,1
12378,129,1,4008.62,0
12379,81,2,852.24,0
12380,21,4,2724.8100000000004,0
12381,4,5,1845.3100000000004,0
12383,184,5,1850.56,1
12384,28,2,585.2700000000001,0
12386,337,2,401.90000000000003,1
12388,15,6,2780.6600000000003,0
12390,79,1,549.84,0
12391,21,1,460.89,0
12393,71,4,1582.6000000000001,0
12394,63,2,1272.48,0
12395,18,12,3018.63,0
12397,35,2,2409.9000000000005,0
12398,45,1,1635.6599999999999,0
12399,118,4,1108.65,0
12401,302,1,84.3,1
12402,322,1,225.6,1
12403,49,1,427.7,0
12405,148,1,1710.3900000000003,1
12406,21,2,3415.3,0
12407,49,5,1708.1199999999997,0
12408,32,5,2888.55,0
12409,78,3,11072.67,0
12410,308,2,693.3299999999999,1
12412,74,3,1226.8799999999999,0
12413,66,3,758.1,0
12414,216,3,562.41,1
12415,23,21,124914.53,2
12417,2,9,3649.1000000000004,0
12418,112,1,668.58,0
12420,63,1,600.3900000000001,0
12421,15,4,807.0400000000001,0
12422,95,3,803.5599999999998,0
12423,0,8,1859.3100000000002,0
12424,162,2,1760.9599999999996,1
12425,77,1,777.1999999999999,0
12426,194,1,582.73,1
12427,21,3,825.8000000000001,0
12428,25,9,7956.46,0
12429,8,4,3750.4,0
12430,42,1,256.4,0
12431,35,15,6487.45,0
12432,42,5,5059.319999999999,0
12433,0,7,13375.87,0
12434,84,2,806.14,0
12435,79,2,7829.890000000001,0
12436,99,1,509.01,0
12437,1,18,4951.41,0
12438,13,2,2906.8500000000004,0
12441,366,1,173.55,1
12442,2,1,172.06,0
12444,20,5,5005.46,0
12445,21,1,133.4,0
12446,57,1,1002.3100000000001,0
12447,242,1,476.49,1
12448,43,1,449.4500000000001,0
12449,21,4,4067.2900000000004,0
12450,155,2,197.88,1
12451,10,5,9035.52,0
12452,16,2,430.57,0
12453,133,1,707.09,0
12454,55,1,3528.34,0
12455,72,6,2466.8599999999997,0
12456,43,3,3181.04,0
12457,65,7,2363.23,0
12458,70,2,947.4,0
12461,93,2,826.88,0
12462,18,2,1189.5900000000001,0
12463,52,4,1344.7800000000002,0
12464,9,8,1212.05,0
12465,16,2,742.19,0
12468,187,2,729.54,1
12471,1,30,19824.050000000003,0
12472,31,7,6572.110000000001,0
12473,28,5,3938.55,0
